image,priority_score,failure_type,r110_dice,araa_dice,nnunet_dice,r110_recall,araa_recall,r110_boundary_iou,araa_boundary_iou,r110_gap_fp,araa_gap_fp,nnunet_gap_fp,r110_component_merge,araa_component_merge,nnunet_component_merge,r110_component_mae,araa_component_mae,nnunet_component_mae,component_deficit,merge_deficit,gap_excess,recall_buffer_vs_araa,dice_buffer_vs_araa,boundary_buffer_vs_araa
14224.png,2.208574418375164,clean_bridge_candidate,0.9412554432950653,0.9315730818688384,0.9360250117662879,0.9602458296751536,0.9540649692712906,0.4078899416909621,0.3668644215669168,0.13301842780499185,0.15634476323769536,0.18509447165850246,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.006180860403863009,0.009682361426226915,0.04102552012404531
7416.png,2.208456216132157,clean_bridge_candidate,0.9135478222805865,0.8997972116603296,0.9204708367916699,0.9338299160371647,0.9343036875213855,0.26079712076779527,0.22576079263977353,0.19092361176360048,0.2426007704594569,0.22512449497322184,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.0004737714842207863,0.013750610620256953,0.03503632812802174
10793.png,2.2078346152076573,clean_bridge_candidate,0.9317384733825668,0.9259094624241816,0.9366864653102489,0.9293535451210148,0.9182332698159893,0.35164918680650553,0.3151974119550033,0.11642831876294911,0.11582192126939209,0.13654050229925715,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0006063974935570232,0.011120275305025462,0.005829010958385172,0.03645177485150225
7625.png,2.2042269176787133,clean_bridge_candidate,0.9286146714406794,0.9240569358355798,0.9348244754535933,0.9191234377675056,0.9213833247731553,0.35684363512011624,0.32872745325169617,0.09815916801067794,0.11829152994827874,0.1290806962905289,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.002259887005649719,0.004557735605099644,0.028116181868420076
15130.png,2.203553728454832,clean_bridge_candidate,0.9412070219175236,0.9366755985824186,0.9378642930900588,0.965528264691779,0.9622604649510718,0.30534875730156913,0.28920960649453153,0.19591010325976918,0.20846325167037863,0.2374569750961733,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0032677997407072334,0.004531423335105034,0.016139150807037594
15578.png,2.1967692027666548,clean_bridge_candidate,0.9058883377845606,0.9062352012628255,0.9185685934011412,0.8643368523237471,0.870798446790438,0.24184202500762428,0.2447889231695387,0.0766000425260472,0.08739102700403997,0.09972358069317457,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.006461594466690923,-0.0003468634782649582,-0.0029468981619144297
1910.png,2.0624669500804056,clean_bridge_candidate,0.9309961375027531,0.9266773563707363,0.9270545473982414,0.9482185065219294,0.9296485161516239,0.1648967207375423,0.1546050787600202,0.32273956723338487,0.2828438948995363,0.34010336166924265,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.03989567233384855,0.01856999037030549,0.00431878113201678,0.010291641977522109
2136.png,2.023443440481146,clean_bridge_candidate,0.8797212625168355,0.8775150122321892,0.8802644359714108,0.8785123242010467,0.8652378585421479,0.2351130081869708,0.2396361363794181,0.20201758923952406,0.1867563372995344,0.22752198654940506,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.015261251939989673,0.013274465658898893,0.0022062502846462717,-0.0045231281924472955
3665.png,1.5556739558608152,fragmentation_risk_high_component_error,0.8759767187173145,0.8933878348501209,0.9077354872302866,0.914284246487375,0.892630551488531,0.19757470186252177,0.25227745965642895,0.30422705923943233,0.20226251199434372,0.20044442199888896,1.0,1.0,1.0,8.0,3.0,1.0,7.0,0.0,0.10378263724054337,0.021653694998844064,-0.017411116132806326,-0.05470275779390718
3858.png,1.4382998434546084,fragmentation_risk_high_component_error,0.918127519614449,0.913298823092458,0.9231525966598032,0.9210622794555703,0.9015168874020439,0.2796259909207941,0.26593771980305647,0.17829688042454,0.15493726132024005,0.16009522392501116,1.0,1.0,1.0,9.0,4.0,2.0,7.0,0.0,0.023359619104299956,0.019545392053526345,0.004828696521991027,0.013688271117737627
