stem,fold,checkpoint,checkpoint_sha256,num_proposals
2830,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
2866,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
2874,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,29
2904,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
2985,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,29
3034,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
3041,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,25
3061,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,22
3081,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,31
3085,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,28
3173,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
3198,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
3212,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,28
