accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
1,1,-0.0006601411268010171,-0.0005427152268556723,-0.0003932029824582628,-0.00015080681646811867,-0.0006991308183337264,-0.0008047450150516777,0.0,1,1.0,0.2,0,0.25
3,3,0.0020703812985153522,0.0015857253832172364,9.3836123127559e-05,-0.0013013945849609336,0.00015373465225794933,-0.00029374921143199284,0.6666666666666666,1,0.3333333333333333,0.25,2,0.25
4,4,-0.0001217626898910723,-9.673237827317882e-05,-0.00019593281592383827,-0.00026360827701609607,-0.00034319085590076015,-0.00045673527262876656,0.25,3,0.75,0.3,1,0.25
9,9,-0.0007786678638731534,-0.0006455733183189141,-0.00024627233316085493,-0.00023580633967099703,-0.00041443513844055226,-0.0005326643044755164,0.1111111111111111,8,0.8888888888888888,0.35,1,0.25
12,12,-0.0004676698805469656,-0.000403339184602277,-0.00021262399519431097,-0.0003573736177018792,-0.0003560787520791031,-0.0004998812898455626,0.16666666666666666,9,0.75,0.4,2,0.25
13,13,-0.0008011075330391424,-0.0006272736720420372,-0.00026929493189545083,-0.0003086723443099152,-0.00045609228736963857,-0.0005877732116219814,0.15384615384615385,11,0.8461538461538461,0.45,2,0.25
14,14,-0.0007750748321184878,-0.000601529220575126,-0.00029083640848171736,-0.0003026572692089962,-0.0004909355406057843,-0.000622398490557793,0.14285714285714285,12,0.8571428571428571,0.5,2,0.25
17,17,-0.0008154997792635105,-0.0006380621942365008,-0.0002713337359622987,-0.0002851927247071283,-0.00046139360032181135,-0.0005894666141456388,0.11764705882352941,15,0.8823529411764706,0.55,2,0.25
22,22,-0.0006462983608206483,-0.0005018828666279123,-0.0002643668223569005,-0.0003088416935972971,-0.00044940601903460285,-0.0005976231165040404,0.18181818181818182,18,0.8181818181818182,0.6,4,0.25
26,26,-0.0006836089689262428,-0.0005333584048360171,-0.0002454440361701786,-0.00031796843051594013,-0.00041750220979144614,-0.0005630400935187587,0.15384615384615385,22,0.8461538461538461,0.65,4,0.25
27,27,-0.0006622138626207217,-0.000516205092641666,-0.00020548584628245884,-0.00032259731322434136,-0.00035993528756392176,-0.0005421867567217677,0.14814814814814814,23,0.8518518518518519,0.7,4,0.25
32,32,-0.0004954259478995148,-0.0003878601200258103,-0.00016970934377844027,-0.00042503154252009,-0.0002938389143688231,-0.0005049603338270758,0.21875,25,0.78125,0.75,7,0.25
32,32,-0.0005489189842719736,-0.00042804678122404993,-0.0001689802502594165,-0.0004131110941705599,-0.00029261359796005186,-0.0005007840772661178,0.21875,25,0.78125,0.8,7,0.25
0,0,,,,,,,0.0,0,0.0,0.1,0,0.3
0,0,,,,,,,0.0,0,0.0,0.15,0,0.3
1,1,-0.0006601411268010171,-0.0005427152268556723,-0.0003932029824582628,-0.00015080681646811867,-0.0006991308183337264,-0.0008047450150516777,0.0,1,1.0,0.2,0,0.3
3,3,0.0020703812985153522,0.0015857253832172364,9.3836123127559e-05,-0.0013013945849609336,0.00015373465225794933,-0.00029374921143199284,0.6666666666666666,1,0.3333333333333333,0.25,2,0.3
4,4,-0.0001217626898910723,-9.673237827317882e-05,-0.00019593281592383827,-0.00026360827701609607,-0.00034319085590076015,-0.00045673527262876656,0.25,3,0.75,0.3,1,0.3
9,9,-0.0007786678638731534,-0.0006455733183189141,-0.00024627233316085493,-0.00023580633967099703,-0.00041443513844055226,-0.0005326643044755164,0.1111111111111111,8,0.8888888888888888,0.35,1,0.3
12,12,-0.0004676698805469656,-0.000403339184602277,-0.00021262399519431097,-0.0003573736177018792,-0.0003560787520791031,-0.0004998812898455626,0.16666666666666666,9,0.75,0.4,2,0.3
13,13,-0.0008011075330391424,-0.0006272736720420372,-0.00026929493189545083,-0.0003086723443099152,-0.00045609228736963857,-0.0005877732116219814,0.15384615384615385,11,0.8461538461538461,0.45,2,0.3
14,14,-0.0007750748321184878,-0.000601529220575126,-0.00029083640848171736,-0.0003026572692089962,-0.0004909355406057843,-0.000622398490557793,0.14285714285714285,12,0.8571428571428571,0.5,2,0.3
16,16,-0.0006546315177409084,-0.0005093269430084327,-0.00025756151434764424,-0.00030301727000132386,-0.00043634175887845295,-0.0005684392140487896,0.125,14,0.875,0.55,2,0.3
21,21,-0.0005156748559251962,-0.00039731413580611815,-0.0002535419433359543,-0.00032354844091145405,-0.00042974806454027225,-0.0005819906451139838,0.19047619047619047,17,0.8095238095238095,0.6,4,0.3
23,23,-0.000562096823529153,-0.0004338687957369814,-0.00022802281745266275,-0.0003508016473194148,-0.0003861419458858882,-0.0005395277119505285,0.17391304347826086,19,0.8260869565217391,0.65,4,0.3
23,23,-0.000562096823529153,-0.0004338687957369814,-0.00022802281745266275,-0.0003508016473194148,-0.0003861419458858882,-0.0005395277119505285,0.17391304347826086,19,0.8260869565217391,0.7,4,0.3
26,26,-0.00030873954381128787,-0.00025362154596620317,-0.00019977075061714618,-0.00043614995407545724,-0.0003339558218699942,-0.0005140681719270709,0.2692307692307692,19,0.7307692307692307,0.75,7,0.3
26,26,-0.00038721013339769033,-0.0003126565421808615,-0.0002035055791932331,-0.0004214786330298817,-0.00034046999860007365,-0.0005176188816542129,0.2692307692307692,19,0.7307692307692307,0.8,7,0.3
0,0,,,,,,,0.0,0,0.0,0.1,0,0.35
0,0,,,,,,,0.0,0,0.0,0.15,0,0.35
1,1,-0.0006601411268010171,-0.0005427152268556723,-0.0003932029824582628,-0.00015080681646811867,-0.0006991308183337264,-0.0008047450150516777,0.0,1,1.0,0.2,0,0.35
3,3,0.0020703812985153522,0.0015857253832172364,9.3836123127559e-05,-0.0013013945849609336,0.00015373465225794933,-0.00029374921143199284,0.6666666666666666,1,0.3333333333333333,0.25,2,0.35
4,4,-0.0001217626898910723,-9.673237827317882e-05,-0.00019593281592383827,-0.00026360827701609607,-0.00034319085590076015,-0.00045673527262876656,0.25,3,0.75,0.3,1,0.35
9,9,-0.0007786678638731534,-0.0006455733183189141,-0.00024627233316085493,-0.00023580633967099703,-0.00041443513844055226,-0.0005326643044755164,0.1111111111111111,8,0.8888888888888888,0.35,1,0.35
12,12,-0.0004676698805469656,-0.000403339184602277,-0.00021262399519431097,-0.0003573736177018792,-0.0003560787520791031,-0.0004998812898455626,0.16666666666666666,9,0.75,0.4,2,0.35
12,12,-0.0007224091244292541,-0.0005837291826718792,-0.0002401270349017918,-0.00026613274178947005,-0.0004035486074531654,-0.0005259896260135141,0.16666666666666666,10,0.8333333333333334,0.45,2,0.35
13,13,-0.0007004276317923868,-0.0005593539648898332,-0.00026556923253266804,-0.0002629272457208223,-0.0004451139324702817,-0.0005680309714527316,0.15384615384615385,11,0.8461538461538461,0.5,2,0.35
15,15,-0.0005819077231664489,-0.0004666282362433993,-0.0002334449689161966,-0.0002686085830310617,-0.000392990113045862,-0.0005177234123904695,0.13333333333333333,13,0.8666666666666667,0.55,2,0.35
18,18,-0.0004279009045566822,-0.00034938685030969086,-0.00020035032338638285,-0.00033196498247695994,-0.0003373450312998467,-0.0004939569720010158,0.2222222222222222,14,0.7777777777777778,0.6,4,0.35
19,19,-0.0004592485466860997,-0.00037617750868472103,-0.0002024376287947879,-0.00031449314129396204,-0.0003414354514478597,-0.0004908692450780066,0.21052631578947367,15,0.7894736842105263,0.65,4,0.35
19,19,-0.0004592485466860997,-0.00037617750868472103,-0.0002024376287947879,-0.00031449314129396204,-0.0003414354514478597,-0.0004908692450780066,0.21052631578947367,15,0.7894736842105263,0.7,4,0.35
21,21,-0.00021198542744407534,-0.00019928271627680608,-0.00018140764558847273,-0.0004159905179669015,-0.00030048441944756696,-0.0004814562263341939,0.2857142857142857,15,0.7142857142857143,0.75,6,0.35
22,22,-0.0002523670982662331,-0.00023164653956330705,-0.00018319623360980484,-0.00039988406171226755,-0.0003036199002991029,-0.0004790165129061406,0.2727272727272727,16,0.7272727272727273,0.8,6,0.35
0,0,,,,,,,0.0,0,0.0,0.1,0,0.4
0,0,,,,,,,0.0,0,0.0,0.15,0,0.4
1,1,-0.0006601411268010171,-0.0005427152268556723,-0.0003932029824582628,-0.00015080681646811867,-0.0006991308183337264,-0.0008047450150516777,0.0,1,1.0,0.2,0,0.4
3,3,0.0020703812985153522,0.0015857253832172364,9.3836123127559e-05,-0.0013013945849609336,0.00015373465225794933,-0.00029374921143199284,0.6666666666666666,1,0.3333333333333333,0.25,2,0.4
4,4,-0.0001217626898910723,-9.673237827317882e-05,-0.00019593281592383827,-0.00026360827701609607,-0.00034319085590076015,-0.00045673527262876656,0.25,3,0.75,0.3,1,0.4
9,9,-0.0007786678638731534,-0.0006455733183189141,-0.00024627233316085493,-0.00023580633967099703,-0.00041443513844055226,-0.0005326643044755164,0.1111111111111111,8,0.8888888888888888,0.35,1,0.4
12,12,-0.0004676698805469656,-0.000403339184602277,-0.00021262399519431097,-0.0003573736177018792,-0.0003560787520791031,-0.0004998812898455626,0.16666666666666666,9,0.75,0.4,2,0.4
12,12,-0.0007224091244292541,-0.0005837291826718792,-0.0002401270349017918,-0.00026613274178947005,-0.0004035486074531654,-0.0005259896260135141,0.16666666666666666,10,0.8333333333333334,0.45,2,0.4
13,13,-0.0007004276317923868,-0.0005593539648898332,-0.00026556923253266804,-0.0002629272457208223,-0.0004451139324702817,-0.0005680309714527316,0.15384615384615385,11,0.8461538461538461,0.5,2,0.4
