rows,imgs,safe,risk,dice,iou,recall,biou,bf1,gap,fg,gtgap,min_comp_area,min_distp,max_rank,min_contacts,min_channel,max_mean_dist,max_area,passes
17,17,4,13,-1.1170513756613293e-05,-1.7900522488819806e-05,-0.00014359831628494758,9.554951329251123e-05,0.00010863756337008272,-0.00026516818260823326,0.49495798319327733,0.38907563025210085,6000,6,8,4,0.3,1.55,48,False
8,8,3,5,1.074550504101127e-05,1.4446055164182911e-05,-8.737117207223259e-05,0.00014794648835207428,0.0002226044473029926,-0.00027230248204453513,0.4517857142857143,0.5392857142857143,6000,6,8,4,0.3,1.75,16,False
13,13,3,10,-6.267343574901998e-06,-1.4715000620687443e-05,-0.00011361565973007389,-8.546929136049091e-05,-9.226477625430722e-05,-0.00019022094730538193,0.48315018315018315,0.3652014652014651,6000,6,8,4,0.3,1.75,24,False
17,17,4,13,-7.973616758377996e-06,-1.240336212880216e-05,-0.0001384491978140299,8.060069341831709e-05,8.683694096231213e-05,-0.0002688349134426885,0.49075630252100844,0.39327731092436974,6000,6,8,4,0.3,1.75,32,False
17,17,4,13,-1.1170513756613293e-05,-1.7900522488819806e-05,-0.00014359831628494758,9.554951329251123e-05,0.00010863756337008272,-0.00026516818260823326,0.49495798319327733,0.38907563025210085,6000,6,8,4,0.3,1.75,48,False
8,8,3,5,1.074550504101127e-05,1.4446055164182911e-05,-8.737117207223259e-05,0.00014794648835207428,0.0002226044473029926,-0.00027230248204453513,0.4517857142857143,0.5392857142857143,6000,6,8,4,0.3,2.0,16,False
13,13,3,10,-6.267343574901998e-06,-1.4715000620687443e-05,-0.00011361565973007389,-8.546929136049091e-05,-9.226477625430722e-05,-0.00019022094730538193,0.48315018315018315,0.3652014652014651,6000,6,8,4,0.3,2.0,24,False
17,17,4,13,-7.973616758377996e-06,-1.240336212880216e-05,-0.0001384491978140299,8.060069341831709e-05,8.683694096231213e-05,-0.0002688349134426885,0.49075630252100844,0.39327731092436974,6000,6,8,4,0.3,2.0,32,False
17,17,4,13,-1.1170513756613293e-05,-1.7900522488819806e-05,-0.00014359831628494758,9.554951329251123e-05,0.00010863756337008272,-0.00026516818260823326,0.49495798319327733,0.38907563025210085,6000,6,8,4,0.3,2.0,48,False
20,20,8,11,-1.1742918040352485e-05,-2.1488862533454228e-05,-8.955355206127999e-05,0.00010273715668304908,0.00013990233396595967,-0.00017177448797400406,0.475,0.4375,6000,6,12,2,0.1,1.55,16,False
20,20,8,11,-1.1742918040352485e-05,-2.1488862533454228e-05,-8.955355206127999e-05,0.00010273715668304908,0.00013990233396595967,-0.00017177448797400406,0.475,0.4375,6000,6,12,2,0.1,1.55,24,False
20,20,8,11,-1.1742918040352485e-05,-2.1488862533454228e-05,-8.955355206127999e-05,0.00010273715668304908,0.00013990233396595967,-0.00017177448797400406,0.475,0.4375,6000,6,12,2,0.1,1.55,32,False
20,20,8,11,-1.1742918040352485e-05,-2.1488862533454228e-05,-8.955355206127999e-05,0.00010273715668304908,0.00013990233396595967,-0.00017177448797400406,0.475,0.4375,6000,6,12,2,0.1,1.55,48,False
20,20,8,11,-1.1742918040352485e-05,-2.1488862533454228e-05,-8.955355206127999e-05,0.00010273715668304908,0.00013990233396595967,-0.00017177448797400406,0.475,0.4375,6000,6,12,2,0.1,1.75,16,False
20,20,8,11,-1.1742918040352485e-05,-2.1488862533454228e-05,-8.955355206127999e-05,0.00010273715668304908,0.00013990233396595967,-0.00017177448797400406,0.475,0.4375,6000,6,12,2,0.1,1.75,24,False
20,20,8,11,-1.1742918040352485e-05,-2.1488862533454228e-05,-8.955355206127999e-05,0.00010273715668304908,0.00013990233396595967,-0.00017177448797400406,0.475,0.4375,6000,6,12,2,0.1,1.75,32,False
20,20,8,11,-1.1742918040352485e-05,-2.1488862533454228e-05,-8.955355206127999e-05,0.00010273715668304908,0.00013990233396595967,-0.00017177448797400406,0.475,0.4375,6000,6,12,2,0.1,1.75,48,False
20,20,8,11,-1.1742918040352485e-05,-2.1488862533454228e-05,-8.955355206127999e-05,0.00010273715668304908,0.00013990233396595967,-0.00017177448797400406,0.475,0.4375,6000,6,12,2,0.1,2.0,16,False
20,20,8,11,-1.1742918040352485e-05,-2.1488862533454228e-05,-8.955355206127999e-05,0.00010273715668304908,0.00013990233396595967,-0.00017177448797400406,0.475,0.4375,6000,6,12,2,0.1,2.0,24,False
