accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
3,3,0.0006573249309715368,0.00041707029052437394,-0.00036608517562556714,-0.001089815202816267,-0.000612792103671341,-0.000902492087884695,0.0,3,1.0,0.25,0,0.3
5,5,2.138704413790493e-05,-6.465836571289685e-05,-0.00021867277460576595,-0.0009512154712546961,-0.00037082880416789977,-0.0007200385582434299,0.0,4,0.8,0.3,0,0.3
11,11,-0.0005088296848481035,-0.00047148102743939125,-0.00017476678323701358,-0.0007223499250428437,-0.000300160680891761,-0.0005696288093307275,0.09090909090909091,9,0.8181818181818182,0.35,1,0.3
22,22,-0.0005334468421902701,-0.0004541550194321172,-0.0001537716147957391,-0.00046113305451033875,-0.00025934333633739,-0.00047084689695323345,0.09090909090909091,19,0.8636363636363636,0.4,2,0.3
48,48,-0.0005237894001085189,-0.0003872006958722792,-0.00017722782708897342,-0.0004945139919596423,-0.0002853591996694824,-0.0005031546283320656,0.16666666666666666,38,0.7916666666666666,0.45,8,0.3
69,69,-0.0006847479530419976,-0.0005300136217825985,-0.00015929431739490247,-0.0004375144641538921,-0.0002665651019572434,-0.0004772395248269867,0.21739130434782608,53,0.7681159420289855,0.5,15,0.3
79,79,-0.0005711095984120488,-0.0004481688960270068,-0.0001548096198495266,-0.00048118203766360447,-0.00026174241829563384,-0.0004801610496939909,0.21518987341772153,59,0.7468354430379747,0.55,17,0.3
85,85,-0.0005675726591340416,-0.00044129493681547297,-0.0001441862725488042,-0.0005013282827580969,-0.00024468585796223464,-0.0004786522823009405,0.2235294117647059,63,0.7411764705882353,0.6,19,0.3
87,87,-0.0005285770740931085,-0.00040825211926299386,-0.00014155774710916604,-0.0004898034946487154,-0.0002399878901704542,-0.0004686995223084203,0.21839080459770116,65,0.7471264367816092,0.65,19,0.3
88,88,-0.0005485864675186622,-0.0004202679718648645,-0.00014274080808967325,-0.0004911150708800805,-0.00024209702518408446,-0.0004697717226882907,0.2159090909090909,66,0.75,0.7,19,0.3
89,89,-0.0005778318630383208,-0.00043976604738951366,-0.00015747671830979525,-0.00048620740785522594,-0.00026760616013425805,-0.0004954594421120613,0.21348314606741572,67,0.7528089887640449,0.75,19,0.3
89,89,-0.0005778318630383208,-0.00043976604738951366,-0.00015747671830979525,-0.00048620740785522594,-0.00026760616013425805,-0.0004954594421120613,0.21348314606741572,67,0.7528089887640449,0.8,19,0.3
0,0,,,,,,,0.0,0,0.0,0.1,0,0.35
0,0,,,,,,,0.0,0,0.0,0.15,0,0.35
1,1,0.001850975716052028,0.0011734223525954601,-0.00025641400097053957,-0.0009123187691093548,-0.0004264066403693034,-0.0006636434022785354,0.0,1,1.0,0.2,0,0.35
2,2,0.000427653765978947,0.00025028485927200417,-0.0002600364400791588,-0.0006595316667614565,-0.00041782393382006067,-0.000617067368970714,0.0,2,1.0,0.25,0,0.35
4,4,-0.0002524330100667979,-0.00026848324539839943,-0.0001287953065776115,-0.0007014237703368981,-0.00021285389436639934,-0.0005317128163761231,0.0,3,0.75,0.3,0,0.35
9,9,-0.0009502677379256049,-0.0007992583972481836,-0.000169698576278675,-0.0004263293462852597,-0.0002903223216533061,-0.0005176766098100706,0.0,8,0.8888888888888888,0.35,0,0.35
20,20,-0.0006722003786596043,-0.0005580676332484109,-0.00017143037743230227,-0.00039230840132854425,-0.00028919982155392045,-0.0004975627102259128,0.05,18,0.9,0.4,1,0.35
46,46,-0.0005836971358742401,-0.0004294690356376314,-0.00018592538529153282,-0.00046604157481317963,-0.00029947140469110836,-0.0005161748832931798,0.15217391304347827,37,0.8043478260869565,0.45,7,0.35
67,67,-0.000677458791561093,-0.0005280960186252714,-0.00015777379217388573,-0.00041793946216275824,-0.0002637805791973662,-0.0004734641461097194,0.208955223880597,52,0.7761194029850746,0.5,14,0.35
76,76,-0.0006065036448869149,-0.0004761410615918094,-0.00015730735319118664,-0.0004427225601844174,-0.00026599250664981785,-0.00048178251680054614,0.21052631578947367,58,0.7631578947368421,0.55,16,0.35
82,82,-0.0006002474971127709,-0.00046696887224584365,-0.00014611258586665776,-0.0004664199711345025,-0.0002480009437417199,-0.0004800999066658069,0.21951219512195122,62,0.7560975609756098,0.6,18,0.35
84,84,-0.0005590812402732632,-0.0004321346698895767,-0.00014334431991565509,-0.0004553147337265382,-0.00024305626077215,-0.0004697572237124856,0.21428571428571427,64,0.7619047619047619,0.65,18,0.35
85,85,-0.0005794379750411288,-0.00044429364022296536,-0.0001445481174859862,-0.00045707835101221244,-0.0002452037373674178,-0.00047085482291277415,0.21176470588235294,65,0.7647058823529411,0.7,18,0.35
86,86,-0.000609344820317026,-0.00046419251293617085,-0.0001597770558603414,-0.00045239526625239624,-0.0002715666013020936,-0.0004974260313836009,0.20930232558139536,66,0.7674418604651163,0.75,18,0.35
86,86,-0.000609344820317026,-0.00046419251293617085,-0.0001597770558603414,-0.00045239526625239624,-0.0002715666013020936,-0.0004974260313836009,0.20930232558139536,66,0.7674418604651163,0.8,18,0.35
