accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
7,7,-0.00025367259205325406,-0.00022895422624399125,-0.00021007619443737444,-0.0005254450105939913,-0.0003540980266958054,-0.0005511095201368958,0.14285714285714285,5,0.7142857142857143,0.3,1,0.35
9,9,-0.0006742742233654336,-0.0005351452703876605,-0.00027055987407386,-0.00028702495146767,-0.00044893796618322094,-0.0005828127608970249,0.1111111111111111,8,0.8888888888888888,0.35,1,0.35
9,9,-0.0006742742233654336,-0.0005351452703876605,-0.00027055987407386,-0.00028702495146767,-0.00044893796618322094,-0.0005828127608970249,0.1111111111111111,8,0.8888888888888888,0.4,1,0.35
10,10,-0.00018660391517353602,-0.00010619425299881608,-0.0001927687884714091,-0.0003718474060087101,-0.00031928722509131366,-0.0004891907578980614,0.2,8,0.8,0.45,2,0.35
10,10,-0.00018660391517353602,-0.00010619425299881608,-0.0001927687884714091,-0.0003718474060087101,-0.00031928722509131366,-0.0004891907578980614,0.2,8,0.8,0.5,2,0.35
13,13,-0.00021588929188740856,-0.00015400236381834116,-0.0001788687046267915,-0.0003531691902087498,-0.0003011314147784737,-0.0004602376365972878,0.23076923076923078,10,0.7692307692307693,0.55,3,0.35
15,15,-0.00017789017770042566,-0.00012370335758881597,-0.00021582159141873744,-0.00037634493775858815,-0.00036489040221704037,-0.0005474605316236891,0.26666666666666666,11,0.7333333333333333,0.6,4,0.35
16,16,-0.00020264675698276717,-0.00014530749080185913,-0.00021275898699043422,-0.00035624935075422373,-0.0003593944641222119,-0.0005340968897317791,0.25,12,0.75,0.65,4,0.35
18,18,-0.0002440035340787723,-0.00018150535828534122,-0.00021045398009831665,-0.00032009100513514073,-0.0003550884089490447,-0.0005145943243743524,0.2222222222222222,14,0.7777777777777778,0.7,4,0.35
19,19,-0.00024260373679348355,-0.00017949170263363933,-0.00017916456440435433,-0.00030465776791957716,-0.00031257975198910836,-0.000522919877121614,0.21052631578947367,15,0.7894736842105263,0.75,4,0.35
20,20,-0.00011043573014179325,-7.796965591058553e-05,-0.00015892929474146112,-0.0003450967273835724,-0.0002779191416894922,-0.0005000274676309757,0.25,15,0.75,0.8,5,0.35
0,0,,,,,,,0.0,0,0.0,0.1,0,0.4
1,1,-0.0006601411268010171,-0.0005427152268556723,-0.0003932029824582628,-0.00015080681646811867,-0.0006991308183337264,-0.0008047450150516777,0.0,1,1.0,0.15,0,0.4
2,2,-0.00037620364564222575,-0.0003055722952493706,-0.00026634592104524124,-0.00038094068378167686,-0.000465218665694378,-0.0006444585979507589,0.0,2,1.0,0.2,0,0.4
4,4,0.00021986912432903072,0.00017344546078074813,-0.0001634888502835552,-0.000570492057417436,-0.0002885643467690213,-0.0005072391055322423,0.25,3,0.75,0.25,1,0.4
6,6,0.00015605031690756518,0.00013204146053862978,-0.0001792635809420018,-0.0005958184290736265,-0.0003010064493086569,-0.0005141347152535966,0.16666666666666666,4,0.6666666666666666,0.3,1,0.4
8,8,-0.0004195572455588416,-0.0003026723858186534,-0.00025501087390689126,-0.00031000250793660616,-0.00042097427557878653,-0.0005590445623295665,0.125,7,0.875,0.35,1,0.4
8,8,-0.0004195572455588416,-0.0003026723858186534,-0.00025501087390689126,-0.00031000250793660616,-0.00042097427557878653,-0.0005590445623295665,0.125,7,0.875,0.4,1,0.4
10,10,-0.00018660391517353602,-0.00010619425299881608,-0.0001927687884714091,-0.0003718474060087101,-0.00031928722509131366,-0.0004891907578980614,0.2,8,0.8,0.45,2,0.4
10,10,-0.00018660391517353602,-0.00010619425299881608,-0.0001927687884714091,-0.0003718474060087101,-0.00031928722509131366,-0.0004891907578980614,0.2,8,0.8,0.5,2,0.4
13,13,-0.00021588929188740856,-0.00015400236381834116,-0.0001788687046267915,-0.0003531691902087498,-0.0003011314147784737,-0.0004602376365972878,0.23076923076923078,10,0.7692307692307693,0.55,3,0.4
